=== MATCH START ===
turn=1 active=P2 phase=MAIN result=ONGOING
P1 leader_hp=12 | P2 leader_hp=9
    -> result=ONGOING P1_HP=6 P2_HP=6 board=P1 폰#2@1B(1/1); P1 군주@4B(6/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@2F(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1); P2 나이트@5B(3/3) | note=random_step=133
T18 P1 MAIN | P1 군주 공격 -> P2 나이트
    -> result=ONGOING P1_HP=6 P2_HP=6 board=P1 폰#2@1B(1/1); P1 군주@4B(6/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@2F(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=134
T18 P1 MAIN | P1 군주 이동 -> 4C
    -> result=ONGOING P1_HP=6 P2_HP=6 board=P1 폰#2@1B(1/1); P1 군주@4C(6/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@2F(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=135
T18 P1 MAIN | Pawn 소환 -> 1C
    -> result=ONGOING P1_HP=6 P2_HP=6 board=P1 폰#3@1C(1/1); P1 폰#2@1B(1/1); P1 군주@4C(6/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@2F(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=136
T18 P1 MAIN | P1 폰#2 이동 -> 2B
    -> result=ONGOING P1_HP=6 P2_HP=6 board=P1 폰#3@1C(1/1); P1 폰#2@2B(1/1); P1 군주@4C(6/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@2F(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=137
T18 P1 MAIN | Pawn 소환 -> 1B
    -> result=ONGOING P1_HP=6 P2_HP=6 board=P1 폰#1@1B(1/1); P1 폰#3@1C(1/1); P1 폰#2@2B(1/1); P1 군주@4C(6/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@2F(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=138
T18 P1 MAIN | P1 나이트 이동 -> 4E
    -> result=ONGOING P1_HP=6 P2_HP=6 board=P1 폰#1@1B(1/1); P1 폰#3@1C(1/1); P1 폰#2@2B(1/1); P1 군주@4C(6/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=139
T18 P1 MAIN | 턴 종료
    -> result=ONGOING P1_HP=6 P2_HP=6 board=P1 폰#1@1B(1/1); P1 폰#3@1C(1/1); P1 폰#2@2B(1/1); P1 군주@4C(6/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=140
T19 P2 MAIN | 귤 공주님 사용 | 대상=P2 비숍
    -> result=ONGOING P1_HP=6 P2_HP=6 board=P1 폰#1@1B(1/1); P1 폰#3@1C(1/1); P1 폰#2@2B(1/1); P1 군주@4C(6/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=141
T19 P2 MAIN | 귤 나무 사용 | 대상=P1 군주
    -> result=ONGOING P1_HP=5 P2_HP=6 board=P1 폰#1@1B(1/1); P1 폰#3@1C(1/1); P1 폰#2@2B(1/1); P1 군주@4C(5/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5A(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=142
T19 P2 MAIN | P2 룩 이동 -> 5B
    -> result=ONGOING P1_HP=5 P2_HP=6 board=P1 폰#1@1B(1/1); P1 폰#3@1C(1/1); P1 폰#2@2B(1/1); P1 군주@4C(5/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5B(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=143
T19 P2 MAIN | 귤 요정 사용 | 대상=P2 폰#2, P1 폰#2
    -> result=ONGOING P1_HP=5 P2_HP=6 board=P1 폰#1@1B(1/1); P1 폰#3@1C(1/1); P1 군주@4C(5/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5B(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=144
T19 P2 MAIN | 귤 요정 사용 | 대상=P2 룩, P1 폰#1
    -> result=ONGOING P1_HP=5 P2_HP=6 board=P1 폰#3@1C(1/1); P1 군주@4C(5/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@5F(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5B(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=145
T19 P2 MAIN | P2 비숍 이동 -> 6E
    -> result=ONGOING P1_HP=5 P2_HP=6 board=P1 폰#3@1C(1/1); P1 군주@4C(5/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5B(1/3); P2 군주@6C(6/9); P2 폰#1@5E(1/1) | note=random_step=146
T19 P2 MAIN | P2 군주 이동 -> 6D
    -> result=ONGOING P1_HP=5 P2_HP=6 board=P1 폰#3@1C(1/1); P1 군주@4C(5/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@4F(1/1); P2 룩@5B(1/3); P2 군주@6D(6/9); P2 폰#1@5E(1/1) | note=random_step=147
T19 P2 MAIN | P2 폰#3 이동 -> 3F
    -> result=ONGOING P1_HP=5 P2_HP=6 board=P1 폰#3@1C(1/1); P1 군주@4C(5/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(6/9); P2 폰#1@5E(1/1) | note=random_step=148
T19 P2 MAIN | P2 비숍 공격 -> P1 군주
    -> result=ONGOING P1_HP=4 P2_HP=6 board=P1 폰#3@1C(1/1); P1 군주@4C(4/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(6/9); P2 폰#1@5E(1/1) | note=random_step=149
T19 P2 MAIN | 턴 종료
    -> result=ONGOING P1_HP=4 P2_HP=6 board=P1 군주@4C(4/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(6/9); P2 폰#1@5E(1/1) | note=random_step=150
T20 P1 MAIN | The Knight 사용 | 대상=P2 군주
    -> result=ONGOING P1_HP=4 P2_HP=4 board=P1 군주@4C(4/12); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(4/9); P2 폰#1@5E(1/1) | note=random_step=151
T20 P1 MAIN | The Rook 사용 | 대상=P1 군주
    -> result=ONGOING P1_HP=5 P2_HP=4 board=P1 군주@4C(5/13); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(4/9); P2 폰#1@5E(1/1) | note=random_step=152
T20 P1 MAIN | P1 군주 이동 -> 5D
    -> result=ONGOING P1_HP=5 P2_HP=4 board=P1 군주@5D(5/13); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(4/9); P2 폰#1@5E(1/1) | note=random_step=153
T20 P1 MAIN | P1 나이트 공격 -> P2 군주
    -> result=ONGOING P1_HP=5 P2_HP=2 board=P1 군주@5D(5/13); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@4E(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(2/9); P2 폰#1@5E(1/1) | note=random_step=154
T20 P1 MAIN | P1 나이트 이동 -> 6F
    -> result=ONGOING P1_HP=5 P2_HP=2 board=P1 군주@5D(5/13); P1 비숍@1E(3/3); P1 룩@2C(4/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(2/9); P2 폰#1@5E(1/1) | note=random_step=155
T20 P1 MAIN | P1 비숍 이동 -> 2F
    -> result=ONGOING P1_HP=5 P2_HP=2 board=P1 군주@5D(5/13); P1 비숍@2F(3/3); P1 룩@2C(4/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(2/9); P2 폰#1@5E(1/1) | note=random_step=156
T20 P1 MAIN | P1 룩 이동 -> 2E
    -> result=ONGOING P1_HP=5 P2_HP=2 board=P1 군주@5D(5/13); P1 비숍@2F(3/3); P1 룩@2E(4/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(2/9); P2 폰#1@5E(1/1) | note=random_step=157
T20 P1 MAIN | P1 군주 공격 -> P2 폰#1
    -> result=ONGOING P1_HP=5 P2_HP=2 board=P1 군주@5D(5/13); P1 비숍@2F(3/3); P1 룩@2E(4/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(2/9) | note=random_step=158
T20 P1 MAIN | 턴 종료
    -> result=ONGOING P1_HP=5 P2_HP=2 board=P1 군주@5D(5/13); P1 비숍@2F(3/3); P1 룩@2E(4/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@5B(1/3); P2 군주@6D(2/9) | note=random_step=159
T21 P2 MAIN | P2 룩 이동 -> 6B
    -> result=ONGOING P1_HP=5 P2_HP=2 board=P1 군주@5D(5/13); P1 비숍@2F(3/3); P1 룩@2E(4/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@6B(1/3); P2 군주@6D(2/9) | note=random_step=160
T21 P2 MAIN | 귤 요정 사용 | 대상=P2 폰#3, P1 룩
    -> result=ONGOING P1_HP=5 P2_HP=2 board=P1 군주@5D(5/13); P1 비숍@2F(3/3); P1 룩@2E(3/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@6B(1/3); P2 군주@6D(2/9) | note=random_step=161
T21 P2 MAIN | 망상의 기사님 소환 -> 6C
    -> result=ONGOING P1_HP=5 P2_HP=2 board=P1 군주@5D(5/13); P1 비숍@2F(3/3); P1 룩@2E(3/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@6B(1/3); P2 군주@6D(2/9); P2 나이트@6C(3/3) | note=random_step=162
T21 P2 MAIN | P2 나이트 이동 -> 5E
    -> result=ONGOING P1_HP=5 P2_HP=2 board=P1 군주@5D(5/13); P1 비숍@2F(3/3); P1 룩@2E(3/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@6B(1/3); P2 군주@6D(2/9); P2 나이트@5E(3/3) | note=random_step=163
T21 P2 MAIN | 턴 종료
    -> result=ONGOING P1_HP=4 P2_HP=2 board=P1 군주@5D(4/13); P1 비숍@2F(3/3); P1 룩@2E(3/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@6B(1/3); P2 군주@6D(2/9); P2 나이트@5E(3/3) | note=random_step=164
T22 P1 MAIN | Pawn 소환 -> 1C
    -> result=ONGOING P1_HP=4 P2_HP=2 board=P1 폰#2@1C(1/1); P1 군주@5D(4/13); P1 비숍@2F(3/3); P1 룩@2E(3/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@6B(1/3); P2 군주@6D(2/9); P2 나이트@5E(3/3) | note=random_step=165
T22 P1 MAIN | P1 룩 공격 -> P2 나이트
    -> result=ONGOING P1_HP=4 P2_HP=2 board=P1 폰#2@1C(1/1); P1 군주@5D(4/13); P1 비숍@2F(3/3); P1 룩@2E(3/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@6B(1/3); P2 군주@6D(2/9); P2 나이트@5E(1/3) | note=random_step=166
T22 P1 MAIN | P1 비숍 이동 -> 5C
    -> result=ONGOING P1_HP=4 P2_HP=2 board=P1 폰#2@1C(1/1); P1 군주@5D(4/13); P1 비숍@5C(3/3); P1 룩@2E(3/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@6B(1/3); P2 군주@6D(2/9); P2 나이트@5E(1/3) | note=random_step=167
T22 P1 MAIN | P1 룩 이동 -> 1E
    -> result=ONGOING P1_HP=4 P2_HP=2 board=P1 폰#2@1C(1/1); P1 군주@5D(4/13); P1 비숍@5C(3/3); P1 룩@1E(3/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@6B(1/3); P2 군주@6D(2/9); P2 나이트@5E(1/3) | note=random_step=168
T22 P1 MAIN | P1 군주 이동 -> 6C
    -> result=ONGOING P1_HP=4 P2_HP=2 board=P1 폰#2@1C(1/1); P1 군주@6C(4/13); P1 비숍@5C(3/3); P1 룩@1E(3/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 룩@6B(1/3); P2 군주@6D(2/9); P2 나이트@5E(1/3) | note=random_step=169
T22 P1 MAIN | The Bishop 사용 | 대상=P2 룩, P2 군주
    -> result=ONGOING P1_HP=4 P2_HP=1 board=P1 폰#2@1C(1/1); P1 군주@6C(4/13); P1 비숍@5C(3/3); P1 룩@1E(3/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 군주@6D(1/9); P2 나이트@5E(1/3) | note=random_step=170
T22 P1 MAIN | P1 비숍 공격 -> P2 군주
    -> result=P1_WIN P1_HP=4 P2_HP=0 board=P1 폰#2@1C(1/1); P1 군주@6C(4/13); P1 비숍@5C(3/3); P1 룩@1E(3/4); P1 나이트@6F(2/3); P2 비숍@6E(4/4); P2 폰#2@3C(1/1); P2 폰#3@3F(1/1); P2 나이트@5E(1/3) | note=random_step=171
=== MATCH END ===
turn=22 result=P1_WIN P1_HP=4 P2_HP=0
